Time[s], Channel 0
-0.100000000000000, 1
0.000000000000000, 0
0.002419500000000, 1
0.002976687500000, 0
0.004203875000000, 1
0.004762750000000, 0
0.005393500000000, 1
0.005953375000000, 0
0.007177937500000, 1
0.007739500000000, 0
0.008367562500000, 1
0.008930187500000, 0
0.010151812500000, 1
0.010716312500000, 0
0.011372687500000, 1
0.011907000000000, 0
0.012562250000000, 1
0.013122625000000, 0
0.014346750000000, 1
0.014908625000000, 0
0.015536312500000, 1
0.016099250000000, 0
0.016725937500000, 1
0.017290000000000, 0
0.017915437500000, 1
0.018480687500000, 0
0.019105062500000, 1
0.044678250000000, 0
0.047090375000000, 1
0.047654937500000, 0
0.048874812500000, 1
0.049441000000000, 0
0.050064312500000, 1
0.050631687500000, 0
0.051859250000000, 1
0.052417812500000, 0
0.053048812500000, 1
0.053608437500000, 0
0.054833187500000, 1
0.055394562500000, 0
0.056043750000000, 1
0.056585250000000, 0
0.057233312500000, 1
0.057776000000000, 0
0.059028062500000, 1
0.059586875000000, 0
0.060217687500000, 1
0.060777562500000, 0
0.061407375000000, 1
0.061968250000000, 0
0.062596937500000, 1
0.063159000000000, 0
0.063786500000000, 1
0.089359500000000, 0
0.091772062500000, 1
0.092361125000000, 0
0.093556500000000, 1
0.094122250000000, 0
0.094746125000000, 1
0.095312937500000, 0
0.096540937500000, 1
0.097099062500000, 0
0.097730562500000, 1
0.098289687500000, 0
0.099515062500000, 1
0.100075812500000, 0
0.100725687500000, 1
0.101266562500000, 0
0.101915250000000, 1
0.102457250000000, 0
0.103710000000000, 1
0.104268125000000, 0
0.104899687500000, 1
0.105458812500000, 0
0.106089312500000, 1
0.106649500000000, 0
0.107279062500000, 1
0.107840250000000, 0
0.108468625000000, 1
0.134052437500000, 0
0.136464250000000, 1
0.137029125000000, 0
0.138258937500000, 1
0.138815187500000, 0
0.139448562500000, 1
0.140005875000000, 0
0.141233062500000, 1
0.141792000000000, 0
0.142422687500000, 1
0.142982687500000, 0
0.144207062500000, 1
0.144793562500000, 0
0.145417500000000, 1
0.145984250000000, 0
0.146617562500000, 1
0.147175000000000, 0
0.148401937500000, 1
0.148961062500000, 0
0.149591625000000, 1
0.150151750000000, 0
0.150781312500000, 1
0.151342500000000, 0
0.151970937500000, 1
0.152533187500000, 0
0.153160437500000, 1
